meter_number,poc_number,branch,vending_category,location,first_transaction_month,last_transaction_month,is_violation,lifetime_total_units,lifetime_total_transactions,lifetime
1318627492,498062,RULINDO,Health Facilities,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-02-28,0,30395.29675639123,117.0,141.98030760385222
1318761093,498025,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-02-28,0,1319.808715878872,201.0,141.98030760385222
1318761119,497996,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,62149.1987000516,728.0,142.99880901045196
1318770060,498392,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,756.6709542986439,104.0,142.01316248793609
1318772744,498024,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2849.9411363282666,462.0,142.01316248793609
1318772777,401485,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,19422.53557662636,142.0,142.01316248793609
1318772785,401486,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,29725.933880601344,279.0,142.01316248793609
1318779343,498045,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-01-31,0,2017.751239586408,186.0,141.0603708495041
1318779350,498008,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,21358.99545183282,203.0,142.01316248793609
1318779384,498001,RULINDO,Small Industries,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,10522.53667135518,386.0,142.99880901045196
1318780655,33375,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-12-31,2018-12-31,0,1264.0,643.0,97.00197129304503
1318782040,498007,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,15552.260676516873,477.0,142.99880901045196
1318787965,497994,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,1682.7505927647705,222.0,142.99880901045196
1318797386,498038,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2021-11-30,0,1313.6000000000004,340.0,139.02336803630465
1318799739,498009,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2807.4219496490923,684.0,142.01316248793609
1318799754,498012,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-02-28,2022-02-28,0,153.99351526452824,13.0,133.01092424895788
4167708843,497998,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,18848.991828899874,758.0,142.01316248793609
4167717158,498051,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2007-03-31,2022-03-31,0,1608.9404020859536,193.0,181.0119098954804
4168260471,498217,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2007-08-31,2022-03-31,0,4232.681258292736,519.0,175.9851126306495
4168516997,498080,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2007-11-30,2022-01-31,0,1342.095682000893,268.0,171.0568800180702
4168518076,498081,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,3828.630774483715,1380.0,142.99880901045196
4168518829,498078,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2880.0543618195024,238.0,142.01316248793609
4169644442,498077,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2013-07-31,2022-03-31,0,946.5061707766395,252.0,104.98570812542351
4169659044,498076,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,4261.946708460118,1450.0,142.01316248793609
4169783596,497991,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2019-12-31,0,743.3000000000003,194.0,115.03930265508532
4169784982,400195,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-02-28,0,944.7281546470393,264.0,140.99466108133637
4169878149,497980,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2007-08-31,2022-03-31,0,927.0338067296732,338.0,175.9851126306495
4182316390,497977,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,21955.972403860847,2230.0,142.99880901045196
4185251263,498020,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2656.2935152645255,184.0,142.01316248793609
4198905160,498102,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-08-31,2022-02-28,0,732.610635650727,205.0,126.96562557752726
4199376718,498149,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2021-08-31,0,1658.9999999999998,229.0,135.04792706215733
4199377328,498119,RULINDO,Health Facilities,AMAJYARUGURU_RULINDO_BUYOGA,2010-12-31,2022-02-28,0,14366.393079221045,96.0,134.94936240990575
4199415425,498084,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,3781.9723216687657,228.0,142.01316248793609
4199473903,498140,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2021-09-30,0,1384.9000000000008,202.0,136.0335735846732
4199476005,498145,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-01-31,0,1114.2476523138,270.0,140.07472432698825
4199478449,498116,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,2290.073584091861,558.0,142.99880901045196
4199478597,498101,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,5112.130346291157,292.0,142.01316248793609
4199505613,498150,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-07-31,2022-03-31,0,2377.425120642188,758.0,140.99466108133637
4200138354,498032,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-02-28,2022-02-28,0,1054.949914417131,173.0,133.01092424895788
4200138362,400182,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-03-31,2022-02-28,0,2593.2838131481835,207.0,131.99242284235817
4200383455,498068,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-03-31,2021-06-30,0,404.90000000000015,71.0,124.00868600997967
4200384172,498074,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-03-31,2022-03-31,0,1974.9280674084719,172.0,133.01092424895788
4200413450,498118,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-05-31,2022-01-31,0,575.7961091587166,110.0,129.06833815889442
4206300560,497972,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-08-31,2022-02-28,0,1199.0956820008946,219.0,138.95765826813692
4206375208,497967,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2468.158060904111,937.0,142.01316248793609
4206389324,498112,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-10-31,2022-03-31,0,14890.84088167078,467.0,137.97201174562105
4206573836,498137,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-10-31,2021-12-31,0,1737.999569747452,206.0,135.01507217807347
4209316779,498130,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-05-31,2022-03-31,0,722.142872980431,119.0,131.0067763198423
4209621210,498064,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-06-30,2022-03-31,0,3620.6574384511496,207.0,130.02112979732644
4209704693,498060,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-06-30,2022-03-31,0,13520.97768263154,471.0,130.02112979732644
4209704701,498049,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-06-30,2022-03-31,0,1215.0327140773134,177.0,130.02112979732644
4209733015,498055,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-03-31,2022-03-31,0,2301.4818427406794,173.0,133.01092424895788
4214004279,498346,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-09-30,2022-03-31,0,452.2454668746207,107.0,114.9735928869176
4214004352,498152,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-09-30,2022-03-31,0,799.3680804171908,223.0,114.9735928869176
4214029144,498121,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-09-30,2022-03-31,0,677.0883367603273,279.0,114.9735928869176
4214029292,498135,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-09-30,2012-09-30,0,2.8,1.0,1.0
4214032098,498106,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2013-07-31,2022-02-28,0,182.44805457935854,70.0,103.96720671882379
4214035679,498100,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-09-30,2021-12-31,0,151.64892436863056,45.0,112.01665331937001
4214039804,498148,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-10-31,2019-12-31,0,156.30000000000004,54.0,86.9812316474671
4214050165,498163,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-08-31,2021-12-31,0,511.4987092423566,184.0,113.00229984188587
4214060180,497970,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-09-30,2019-06-30,0,2025.8000000000004,113.0,81.9544343826362
4214061030,498094,RULINDO,Non Residential,AMAJYARUGURU_RULINDO_BUYOGA,2022-03-31,2022-03-31,0,2.605488991101808,1.0,1.0
4214065866,498109,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2013-01-31,2022-01-31,0,1426.9738005522925,195.0,108.9940039836547
4214075303,497962,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-11-30,2022-01-31,0,1091.5961091587178,155.0,111.03100679685414
4214075493,498115,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-09-30,2022-03-31,0,760.9409825997641,156.0,114.9735928869176
4214077515,498133,RULINDO,Residential,AMAJYARUGURU_RULINDO_BUYOGA,2012-10-31,2021-12-31,0,152.69870924235664,31.0,110.99815191277028
