meter_number,poc_number,branch,vending_category,location,first_transaction_month,last_transaction_month,is_violation,lifetime_total_units,lifetime_total_transactions,lifetime,total_blank_periods,avg_monthly_units_over_blank_periods,std_monthly_units_over_blank_periods,last_blank_period_start,last_blank_period_end,last_blank_period_length,months_since_last_blank_period,total_units_before_last_blank_period,monthly_units_over_last_blank_period,longest_blank_period_start,longest_blank_period_end,longest_blank_period_length,months_since_longest_blank_period,total_units_before_longest_blank_period,monthly_units_over_longest_blank_period,lifetime_monthly_units,idle,units_avg_3,units_avg_6,units_avg_12,units_std_3,units_std_6,units_std_12,transaction_month,rel_units_avg_3_6,rel_units_avg_3_12,rel_units_avg_6_12,rel_units_avg_3_6_df,rel_units_avg_3_6_ddf,rel_units_avg_3_12_df,rel_units_avg_3_12_ddf,rel_units_avg_6_12_df,rel_units_avg_6_12_ddf,cv_monthly_units_over_blank_periods,rel_units_avg_3_lifetime,rel_units_avg_6_lifetime,rel_units_avg_12_lifetime
1318627492,498062,RULINDO,healthfacilities,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-02-28,0,30395.29675639123,117.0,141.98030760385222,40.0,178.05725361301228,79.63603980511054,2021-12-31,2022-02-28,2.0,0.0,454.47,227.23,2017-11-30,2018-04-30,5.0,46.0,221.7,44.34,214.0810741247228,0,227.1742,194.6995,189.2747,160.6783,145.1581,156.0979,2022-02-28,0.167,0.2,0.029,0.29200000000000004,0.41700000000000004,0.30000000000000004,0.491,0.0,0.062,0.447,0.06115966079116933,-0.09053380455962753,-0.11587373720981378
1318761093,498025,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-02-28,0,1319.808715878872,201.0,141.98030760385222,19.0,4.970087719298245,6.038917074836329,2019-12-31,2020-02-29,2.0,24.0,4.2,2.1,2017-01-31,2017-11-30,10.0,51.0,13.4,1.34,9.295716695876933,0,3.2772,3.6155,4.7674,0.8182,1.2577,1.8985,2022-02-28,-0.094,-0.313,-0.242,-0.121,-0.236,-0.14,-0.15700000000000003,-0.046999999999999986,0.03600000000000002,1.215,-0.6474505293977402,-0.6110574237268186,-0.487140136046255
1318761119,497996,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,62149.1987000516,728.0,142.99880901045196,0.0,759.9234,145.3488,9999-99-99,9999-99-99,0.0,0.0,759.9234,759.9234,9999-99-99,9999-99-99,0.0,0.0,759.9234,759.9234,434.61340083964643,0,759.9234,616.4991,682.3661,145.3488,237.1968,235.4649,2022-02-28,0.233,0.114,-0.097,0.04400000000000001,-0.155,0.129,0.02200000000000002,0.07499999999999998,0.13399999999999995,0.191,0.7485042995266014,0.4184999790824709,0.5700530602179098
1318770060,498392,RULINDO,residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,756.6709542986439,104.0,142.01316248793609,32.0,4.227893710176797,2.266449391322975,2021-12-31,2022-03-31,3.0,0.0,16.68,5.56,2018-06-30,2019-02-28,8.0,37.0,9.5,1.19,5.328174804662368,0,4.1694,5.0682,4.3481,7.2215,8.0336,7.5476,2022-02-28,-0.177,-0.041,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.536,-0.21748062838486315,-0.048792469127491675,-0.18394193895529912
1318772744,498024,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2849.9411363282666,462.0,142.01316248793609,4.0,26.48333333333333,17.399441242624878,2020-04-30,2020-06-30,2.0,21.0,3.8,1.9,2011-05-31,2011-07-31,2.0,128.0,79.4,39.7,20.068147813906805,0,11.734,9.648,10.9613,2.801,3.3811,3.5828,2022-02-28,0.216,0.07,-0.12,0.04100000000000001,-0.239,0.14400000000000002,-0.061000000000000026,0.092,0.10899999999999999,0.657,-0.41529232748282907,-0.5192381434765924,-0.45379612998444985
1318772777,401485,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,19422.53557662636,142.0,142.01316248793609,28.0,97.50246913580249,67.9125900774128,2021-01-31,2021-03-31,2.0,12.0,70.8,35.4,2016-07-31,2017-01-31,6.0,62.0,139.3,23.22,136.76574224784474,0,64.2233,71.2847,68.4578,15.6629,15.4797,14.2217,2022-02-28,-0.099,-0.062,0.041,-0.059000000000000004,-0.046,-0.187,-0.181,-0.13099999999999998,-0.141,0.697,-0.5304138379652448,-0.47878248727799844,-0.4994521371006648
1318772785,401486,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,29725.933880601344,279.0,142.01316248793609,22.0,183.5047619047619,102.90649633481009,2021-04-30,2021-07-31,3.0,8.0,770.3,256.77,2011-12-31,2012-03-31,3.0,120.0,298.9,99.63,209.31816009045318,0,192.2407,177.009,223.4552,38.6928,62.029,197.5821,2022-02-28,0.086,-0.14,-0.208,0.13699999999999998,0.307,-0.03700000000000002,-0.09400000000000003,-0.153,-0.347,0.561,-0.0815861370225758,-0.1543543096140887,0.06753852557961403
1318779343,498045,RULINDO,residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-01-31,0,2017.751239586408,186.0,141.0603708495041,18.0,7.859166666666669,5.444276024889368,2021-10-31,2021-12-31,2.0,1.0,16.7,8.35,2018-05-31,2018-10-31,5.0,39.0,14.2,2.84,14.30416797740541,0,8.3378,12.2216,12.1043,8.3378,7.7625,7.2918,2022-02-28,-0.318,-0.311,0.01,-0.17500000000000002,-0.17500000000000002,-0.312,-0.226,-0.158,-0.056999999999999995,0.693,-0.4171069569953157,-0.14559168912830117,-0.15379209618345357
1318779350,498008,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,21358.99545183282,203.0,142.01316248793609,30.0,132.00977011494248,66.65388060106382,2021-10-31,2021-12-31,2.0,3.0,206.5,103.25,2021-04-30,2021-08-31,4.0,7.0,475.4,118.85,150.40151967355314,0,94.6712,114.755,118.2654,58.4938,61.1268,127.8806,2022-02-28,-0.175,-0.2,-0.03,-0.358,-0.041999999999999926,-0.259,-0.372,0.075,-0.189,0.505,-0.3705435942038081,-0.23700903921000266,-0.21366884951232318
1318779384,498001,RULINDO,smallindustries,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,10522.53667135518,386.0,142.99880901045196,13.0,44.26257585898826,51.16531044970231,2022-01-31,2022-03-31,2.0,0.0,31.53,15.76,2010-05-31,2010-07-31,2.0,140.0,87.0,43.5,73.5847853850732,0,30.6774,29.5728,28.9591,22.3527,16.9451,12.9624,2022-02-28,0.037,0.059,0.021,-0.086,-0.09599999999999999,-0.146,-0.16299999999999998,-0.05199999999999999,-0.05799999999999998,1.156,-0.5831013185747096,-0.5981125738799954,-0.6064526131529032
1318780655,33375,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-12-31,2018-12-31,0,1264.0,643.0,97.00197129304505,7.0,2.7609523809523813,1.8572523777230232,2018-08-31,2018-12-31,4.0,0.0,2.2,0.55,2013-05-31,2014-08-31,15.0,52.0,41.1,2.74,13.030663017985777,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673,-1.0,-1.0,-1.0
1318782040,498007,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,15552.260676516871,477.0,142.99880901045196,6.0,44.967619047619046,36.22722409366855,2020-04-30,2020-06-30,2.0,21.0,112.3,56.15,2017-03-31,2017-10-31,7.0,53.0,8.9,1.27,108.75797346941636,0,211.5187,173.5107,191.7396,67.9638,71.1992,80.6188,2022-02-28,0.219,0.103,-0.095,0.14100000000000001,0.043,0.13899999999999998,0.215,0.010999999999999996,0.178,0.806,0.9448569447598323,0.5953837173031976,0.7629934972438481
1318787965,497994,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,1682.7505927647703,222.0,142.99880901045196,24.0,8.304774030133524,7.818240133315117,2021-12-31,2022-02-28,2.0,1.0,1.86,0.93,2014-10-31,2015-11-30,13.0,76.0,63.1,4.85,11.767584670175651,0,1.396,1.3406,2.0737,1.5432,1.6553,1.7414,2022-02-28,0.041,-0.327,-0.354,-0.23600000000000002,-0.754,-0.007000000000000006,-0.16499999999999998,0.11300000000000004,0.26800000000000007,0.941,-0.8813690286386388,-0.886076876642521,-0.8237786208366371
1318797386,498038,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2021-11-30,0,1313.6000000000004,340.0,139.02336803630465,12.0,2.4883333333333337,2.2227833319378525,2021-07-31,2021-09-30,2.0,2.0,4.0,2.0,2011-08-31,2012-06-30,10.0,113.0,10.6,1.06,9.448771228567603,0,0.5,1.7143,2.3333,0.866,2.2497,2.2852,2022-02-28,-0.708,-0.786,-0.265,-0.364,0.147,-0.386,0.07300000000000001,-0.17900000000000002,-0.18500000000000003,0.893,-0.9470830663686417,-0.8185690013515249,-0.7530578375159033
1318799739,498009,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2807.4219496490923,684.0,142.01316248793609,6.0,3.018888888888889,3.1537780596266947,2021-04-30,2022-01-31,9.0,2.0,4.0,0.44,2021-04-30,2022-01-31,9.0,2.0,4.0,0.44,19.7687446745479,1,7.6771,4.3869,3.3924,7.7402,6.9763,5.6958,2022-02-28,0.75,1.263,0.293,0.0,-0.75,0.6499999999999999,-0.9630000000000001,0.371,-0.551,1.045,-0.6116546535256635,-0.7780890960846847,-0.8283957805187455
1318799754,498012,RULINDO,residential,AMAJYARUGURU_RULINDO_BUYOGA,2011-02-28,2022-02-28,0,153.99351526452824,13.0,133.01092424895788,12.0,1.7396658394287705,0.909231580591223,2021-10-31,2022-02-28,4.0,0.0,9.6,2.4,2013-12-31,2018-10-31,58.0,40.0,44.3,0.76,1.1577508850047311,0,2.3734,2.7276,1.5911,4.1108,4.3129,3.5579,2022-02-28,-0.13,0.492,0.714,-0.88,-0.8799999999999999,-1.508,-1.508,0.0,0.0,0.523,1.0500092297405597,1.355947238156379,0.37430255559122116
4167708843,497998,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,18848.991828899874,758.0,142.01316248793609,3.0,17.625,8.175,2011-11-30,2012-01-31,2.0,122.0,51.6,25.8,2010-06-30,2010-08-31,2.0,139.0,18.9,9.45,132.72707612930654,0,57.7232,46.3275,49.4661,16.7463,23.0212,26.7366,2022-02-28,0.246,0.167,-0.063,-0.21600000000000003,-0.23800000000000004,0.11900000000000001,0.11200000000000002,0.21999999999999997,0.22599999999999987,0.464,-0.5650985338985062,-0.6509566747717217,-0.6273096534439687
4167717158,498051,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2007-03-31,2022-03-31,0,1608.9404020859536,193.0,181.0119098954804,21.0,7.404009146341464,16.777354923847483,2020-08-31,2020-10-31,2.0,17.0,3.8,1.9,2007-03-31,2010-08-31,41.0,139.0,3.8,0.09,8.888588618367628,0,12.088,12.2217,11.7793,3.1033,3.2995,4.0159,2022-02-28,-0.011,0.026,0.038,-0.09699999999999999,-0.263,-0.05800000000000001,-0.201,0.04,0.066,2.266,0.3599459395635679,0.3749876976806799,0.3252160163717021
4168260471,498217,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2007-08-31,2022-03-31,0,4232.681258292736,519.0,175.9851126306495,11.0,29.413474576271188,20.72229635637038,2020-08-31,2020-10-31,2.0,17.0,6.0,3.0,2007-11-30,2012-10-31,59.0,113.0,22.7,0.38,24.051359771414972,0,12.6177,10.0387,8.5059,9.9398,8.1085,7.061,2022-02-28,0.257,0.483,0.18,0.336,0.28400000000000003,0.432,0.4,0.03900000000000001,0.07,0.705,-0.47538517073799175,-0.5826140353224024,-0.6463443197873054
4168516997,498080,RULINDO,residential,AMAJYARUGURU_RULINDO_BUYOGA,2007-11-30,2022-01-31,0,1342.095682000893,268.0,171.0568800180702,11.0,1.389090909090909,1.0558792505469257,2021-10-31,2021-12-31,2.0,1.0,6.8,3.4,2007-11-30,2010-05-31,30.0,140.0,15.1,0.5,7.845902964318746,0,2.3739,3.4565,5.183,2.3739,2.4006,3.2313,2022-02-28,-0.313,-0.542,-0.333,-0.10500000000000001,-0.254,-0.22100000000000003,-0.29000000000000004,-0.19000000000000003,-0.09900000000000003,0.76,-0.6974344430722738,-0.5594515996795628,-0.33940044586696777
4168518076,498081,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,3828.630774483715,1380.0,142.99880901045196,3.0,1.9366666666666668,0.8966666666666667,2015-12-31,2016-05-31,5.0,70.0,5.2,1.04,2015-12-31,2016-05-31,5.0,70.0,5.2,1.04,26.773864768369332,0,23.0022,23.3441,20.5424,15.3016,11.7861,9.8239,2022-02-28,-0.015,0.12,0.136,0.023,0.176,0.129,0.349,0.10500000000000001,0.16,0.463,-0.14087113687169966,-0.12810122102436472,-0.23274431324278555
4168518829,498078,RULINDO,residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2880.0543618195024,238.0,142.01316248793609,14.0,12.646153846153847,6.753552891633563,2014-12-31,2015-02-28,2.0,85.0,25.3,12.65,2013-12-31,2014-03-31,3.0,96.0,22.1,7.37,20.280193126916394,0,10.1035,11.202,13.0595,4.2597,3.7407,3.7937,2022-02-28,-0.098,-0.226,-0.142,0.027999999999999997,0.079,0.048000000000000015,0.10200000000000006,0.027000000000000024,0.039000000000000035,0.534,-0.5018045470883423,-0.44763839624720253,-0.3560465663087254
4169644442,498077,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2013-07-31,2022-03-31,0,946.5061707766396,252.0,104.98570812542351,11.0,2.6833986928104574,2.3992457035421184,2020-08-31,2020-12-31,4.0,15.0,4.0,1.0,2017-03-31,2018-08-31,17.0,43.0,3.6,0.21,9.015571620909343,0,41.1703,34.8402,25.8901,7.7092,9.4509,13.3984,2022-02-28,0.182,0.59,0.346,-0.034,0.015000000000000013,-0.08300000000000007,0.009999999999999898,-0.030000000000000027,-0.01100000000000001,0.894,3.5665767775074717,2.8644471437836456,1.871709203657641
4169659044,498076,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,4261.946708460118,1450.0,142.01316248793609,6.0,3.453333333333333,2.9417757298007,2020-03-31,2020-05-31,2.0,22.0,18.0,9.0,2013-02-28,2013-12-31,10.0,99.0,7.0,0.7,30.01092739429817,0,13.9291,15.1309,19.4764,2.8156,2.8384,6.1094,2022-02-28,-0.079,-0.285,-0.223,-0.017,-0.016,-0.05799999999999997,0.004000000000000031,-0.047000000000000014,0.018999999999999975,0.852,-0.5358657259406648,-0.49582031234147245,-0.35102305423256075
4169783596,497991,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2019-12-31,0,743.3000000000003,194.0,115.03930265508532,13.0,3.322633384714832,7.008580405244705,2019-09-30,2019-12-31,3.0,0.0,2.2,0.73,2012-09-30,2014-02-28,17.0,70.0,3.5,0.21,6.461270042887753,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109,-1.0,-1.0,-1.0
4169784982,400195,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-02-28,0,944.7281546470392,264.0,140.99466108133635,13.0,3.0056646942800787,3.033568264096416,2021-07-31,2021-09-30,2.0,5.0,4.0,2.0,2015-07-31,2017-08-31,25.0,54.0,41.2,1.65,6.700453388813417,0,2.832,2.204,2.294,0.8936,1.1761,1.0387,2022-02-28,0.285,0.235,-0.039,0.15599999999999997,0.15099999999999997,0.09899999999999998,0.009999999999999967,-0.045,-0.12000000000000001,1.009,-0.5773420340886039,-0.6710670350039839,-0.6576351081212065
4169878149,497980,RULINDO,residential,AMAJYARUGURU_RULINDO_BUYOGA,2007-08-31,2022-03-31,0,927.0338067296732,338.0,175.9851126306495,17.0,2.983552827380952,6.428360344573752,2017-01-31,2017-07-31,6.0,56.0,3.7,0.62,2011-08-31,2014-04-30,32.0,95.0,3.8,0.12,5.267683117465138,0,8.3347,7.5913,8.1282,3.7043,2.9815,2.6479,2022-02-28,0.098,0.025,-0.066,-0.022999999999999993,-0.021999999999999992,-0.04,-0.07,-0.016,-0.044,2.155,0.5822326085572781,0.44110794645768486,0.5430313135296132
4182316390,497977,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,21955.972403860847,2230.0,142.99880901045196,0.0,76.5909,5.4875,9999-99-99,9999-99-99,0.0,0.0,76.5909,76.5909,9999-99-99,9999-99-99,0.0,0.0,76.5909,76.5909,153.5395473276708,0,76.5909,82.8376,107.522,5.4875,8.9646,44.0766,2022-02-28,-0.075,-0.288,-0.23,0.05800000000000001,0.09,0.01200000000000001,0.04099999999999998,-0.038000000000000006,-0.036000000000000004,0.072,-0.501165000593975,-0.46048036846679524,-0.2997113651081967
4185251263,498020,RULINDO,residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,2656.293515264525,184.0,142.01316248793609,19.0,9.816842105263158,9.770926289457751,2021-10-31,2022-03-31,5.0,0.0,9.6,1.92,2020-11-30,2021-05-31,6.0,10.0,9.6,1.6,18.70455856857758,0,0.0,3.4286,2.8,0.0,4.227,4.1376,2022-02-28,-1.0,-1.0,0.225,-0.7,-0.35000000000000003,-0.857,-0.428,0.0,0.0,0.995,-1.0,-0.8166970908492959,-0.8503038716613278
4198905160,498102,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2011-08-31,2022-02-28,0,732.610635650727,205.0,126.96562557752726,17.0,3.465364145658263,3.52558132657019,2021-07-31,2022-02-28,7.0,0.0,3.8,0.54,2021-07-31,2022-02-28,7.0,0.0,3.8,0.54,5.770149458314472,1,4.6527,2.6587,3.3676,8.0586,6.5124,5.2655,2022-02-28,0.75,0.382,-0.211,1.75,1.75,1.3820000000000001,1.3820000000000001,0.536,0.5959999999999999,1.017,-0.19366040106713137,-0.5392320390992719,-0.41637560268955054
4199376718,498149,RULINDO,residential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2021-08-31,0,1658.9999999999998,229.0,135.04792706215733,9.0,5.397507658033974,6.577608965036805,2020-01-31,2021-08-31,19.0,0.0,16.9,0.89,2020-01-31,2021-08-31,19.0,0.0,16.9,0.89,12.284527693908448,1,0.0,0.6857,0.4,0.0,1.6797,1.3266,2022-02-28,-1.0,-1.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,1.219,-1.0,-0.9441818182118618,-0.9674387155968276
4199377328,498119,RULINDO,healthfacilities,AMAJYARUGURU_RULINDO_BUYOGA,2010-12-31,2022-02-28,0,14366.393079221045,96.0,134.94936240990577,40.0,85.80012499999998,52.448186633714336,2021-10-31,2021-12-31,2.0,2.0,249.8,124.9,2010-12-31,2011-05-31,5.0,129.0,45.4,9.08,106.45765806275865,0,170.3733,197.9276,158.9828,98.3651,81.181,101.9967,2022-02-28,-0.139,0.072,0.245,-0.14400000000000002,-0.14400000000000002,-0.035,-0.03500000000000002,0.14300000000000002,0.14300000000000002,0.611,0.6003855720699958,0.8592142979823794,0.49338998145419327
4199415425,498084,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-03-31,0,3781.9723216687657,228.0,142.01316248793609,5.0,18.375,15.269638993767993,2019-04-30,2019-06-30,2.0,33.0,16.8,8.4,2011-01-31,2011-03-31,2.0,132.0,87.0,43.5,26.631139363508236,0,11.157,11.1469,11.4357,3.7332,3.4462,3.5385,2022-02-28,0.001,-0.024,-0.025,0.167,0.164,0.164,0.12599999999999997,0.0009999999999999974,-0.04100000000000001,0.831,-0.5810543496577519,-0.5814336049296401,-0.5705891571552526
4199473903,498140,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2021-09-30,0,1384.9000000000008,202.0,136.0335735846732,18.0,7.345370370370371,6.166223221181915,2021-05-31,2021-08-31,3.0,1.0,3.8,1.27,2020-03-31,2020-11-30,8.0,10.0,7.6,0.95,10.180575011785447,1,0.0,1.0857,1.2667,0.0,1.7167,1.7913,2022-02-28,-1.0,-1.0,-0.143,0.0,0.875,0.0,0.5,0.171,0.055999999999999994,0.839,-1.0,-0.8933557290483938,-0.8755767725758499
4199476005,498145,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-06-30,2022-01-31,0,1114.2476523138,270.0,140.07472432698825,10.0,2.6475,2.3069550939616392,2021-01-31,2021-06-30,5.0,7.0,7.4,1.48,2012-02-29,2014-02-28,24.0,95.0,9.8,0.41,7.954666037483806,0,3.3619,5.3211,4.7706,2.152,2.7871,3.8672,2022-02-28,-0.368,-0.295,0.115,-0.155,-0.10700000000000001,-0.408,-0.264,-0.3,-0.20899999999999996,0.871,-0.5773675495415989,-0.33107185456610905,-0.4002765197784443
4199478449,498116,RULINDO,nonresidential,AMAJYARUGURU_RULINDO_BUYOGA,2010-05-31,2022-03-31,0,2290.073584091861,558.0,142.99880901045196,26.0,6.277285714285715,12.287589460623858,2019-05-31,2019-07-31,2.0,32.0,8.4,4.2,2016-10-31,2017-05-31,7.0,58.0,4.6,0.66,16.014633967507216,0,35.3907,36.4804,36.2719,6.22,4.9722,4.0988,2022-02-28,-0.03,-0.024,0.006,-0.06,-0.051,-0.07300000000000001,-0.046,-0.013,0.0030000000000000027,1.957,1.20989752696226,1.2779415423428764,1.264922200132306
