meter_number,poc_number,total_blank_periods,avg_monthly_units_over_blank_periods,std_monthly_units_over_blank_periods,last_blank_period_start,last_blank_period_end,last_blank_period_length,months_since_last_blank_period,total_units_before_last_blank_period,monthly_units_over_last_blank_period,longest_blank_period_start,longest_blank_period_end,longest_blank_period_length,months_since_longest_blank_period,total_units_before_longest_blank_period,monthly_units_over_longest_blank_period
1318627492,498062,40,178.05725361301228,79.63603980511054,2021-12-31,2022-02-28,2,0,454.47,227.23,2017-11-30,2018-04-30,5,46,221.7,44.34
1318761093,498025,19,4.970087719298245,6.038917074836329,2019-12-31,2020-02-29,2,24,4.2,2.1,2017-01-31,2017-11-30,10,51,13.4,1.34
1318770060,498392,32,4.227893710176797,2.266449391322975,2021-12-31,2022-03-31,3,0,16.68,5.56,2018-06-30,2019-02-28,8,37,9.5,1.19
1318772744,498024,4,26.483333333333334,17.399441242624878,2020-04-30,2020-06-30,2,21,3.8,1.9,2011-05-31,2011-07-31,2,128,79.4,39.7
1318772777,401485,28,97.50246913580247,67.9125900774128,2021-01-31,2021-03-31,2,12,70.8,35.4,2016-07-31,2017-01-31,6,62,139.3,23.22
1318772785,401486,22,183.5047619047619,102.90649633481007,2021-04-30,2021-07-31,3,8,770.3,256.77,2011-12-31,2012-03-31,3,120,298.9,99.63
1318779343,498045,18,7.859166666666669,5.444276024889368,2021-10-31,2021-12-31,2,1,16.7,8.35,2018-05-31,2018-10-31,5,39,14.2,2.84
1318779350,498008,30,132.00977011494248,66.65388060106382,2021-10-31,2021-12-31,2,3,206.5,103.25,2021-04-30,2021-08-31,4,7,475.4,118.85
1318779384,498001,13,44.26257585898826,51.16531044970231,2022-01-31,2022-03-31,2,0,31.53,15.76,2010-05-31,2010-07-31,2,140,87.0,43.5
1318780655,33375,7,2.7609523809523813,1.8572523777230232,2018-08-31,2018-12-31,4,0,2.2,0.55,2013-05-31,2014-08-31,15,52,41.1,2.74
1318782040,498007,6,44.967619047619046,36.22722409366855,2020-04-30,2020-06-30,2,21,112.3,56.15,2017-03-31,2017-10-31,7,53,8.9,1.27
1318787965,497994,24,8.304774030133524,7.8182401333151175,2021-12-31,2022-02-28,2,1,1.86,0.93,2014-10-31,2015-11-30,13,76,63.1,4.85
1318797386,498038,12,2.4883333333333337,2.2227833319378525,2021-07-31,2021-09-30,2,2,4.0,2.0,2011-08-31,2012-06-30,10,113,10.6,1.06
1318799739,498009,6,3.018888888888889,3.1537780596266947,2021-04-30,2022-01-31,9,2,4.0,0.44,2021-04-30,2022-01-31,9,2,4.0,0.44
1318799754,498012,12,1.7396658394287705,0.909231580591223,2021-10-31,2022-02-28,4,0,9.6,2.4,2013-12-31,2018-10-31,58,40,44.3,0.76
4167708843,497998,3,17.625,8.175,2011-11-30,2012-01-31,2,122,51.6,25.8,2010-06-30,2010-08-31,2,139,18.9,9.45
4167717158,498051,21,7.404009146341464,16.777354923847483,2020-08-31,2020-10-31,2,17,3.8,1.9,2007-03-31,2010-08-31,41,139,3.8,0.09
4168260471,498217,11,29.413474576271188,20.72229635637038,2020-08-31,2020-10-31,2,17,6.0,3.0,2007-11-30,2012-10-31,59,113,22.7,0.38
4168516997,498080,11,1.389090909090909,1.0558792505469257,2021-10-31,2021-12-31,2,1,6.8,3.4,2007-11-30,2010-05-31,30,140,15.1,0.5
4168518076,498081,3,1.9366666666666668,0.8966666666666667,2015-12-31,2016-05-31,5,70,5.2,1.04,2015-12-31,2016-05-31,5,70,5.2,1.04
4168518829,498078,14,12.646153846153847,6.753552891633563,2014-12-31,2015-02-28,2,85,25.3,12.65,2013-12-31,2014-03-31,3,96,22.1,7.37
4169644442,498077,11,2.6833986928104574,2.3992457035421184,2020-08-31,2020-12-31,4,15,4.0,1.0,2017-03-31,2018-08-31,17,43,3.6,0.21
4169659044,498076,6,3.453333333333333,2.9417757298007,2020-03-31,2020-05-31,2,22,18.0,9.0,2013-02-28,2013-12-31,10,99,7.0,0.7
4169783596,497991,13,3.322633384714832,7.008580405244705,2019-09-30,2019-12-31,3,0,2.2,0.73,2012-09-30,2014-02-28,17,70,3.5,0.21
4169784982,400195,13,3.0056646942800787,3.0335682640964157,2021-07-31,2021-09-30,2,5,4.0,2.0,2015-07-31,2017-08-31,25,54,41.2,1.65
4169878149,497980,17,2.983552827380952,6.428360344573752,2017-01-31,2017-07-31,6,56,3.7,0.62,2011-08-31,2014-04-30,32,95,3.8,0.12
4185251263,498020,19,9.816842105263158,9.770926289457751,2021-10-31,2022-03-31,5,0,9.6,1.92,2020-11-30,2021-05-31,6,10,9.6,1.6
4198905160,498102,17,3.465364145658263,3.52558132657019,2021-07-31,2022-02-28,7,0,3.8,0.54,2021-07-31,2022-02-28,7,0,3.8,0.54
